Smiles,CodeID,MolecularWeight,cLogS,cLogP,HBD,HBA,PSA,ROTATABLE_BONDS,DG,Ki,LIGAND_EFFICIENCY,BEI,SEI,NSEI,NBEI,nBEI,mBEI
Cc1nc(cs1)CCN,CC54613,142.225,-1.68,0.47,1.0,2.0,38.91,Null,-3.6,2295.68,-0.4,18.5557296491,6.7825460019,1.319544324670073155768922168,0.2932320721489051457264271483,3.593331158779471196383315112,1.792064591779955440105281682
Nc1ccc2c(c1)sc(n2)C,CC54714,164.231,-2.1,1.05,1.0,2.0,38.91,Null,-4.7,358.53,-0.43,20.9794405373,8.85498457693,1.722737249441119855668808850,0.3132249544438399737579652455,4.486867184040464793128928316,2.660929636185874351044201891
OCc1ccc(nc1)c1cccs1,CC54809,191.253,-2.45,0.75,1.0,2.0,33.12,Null,-4.9,255.8,-0.38,18.7819247795,10.8457109295,1.796049729928682455035091106,0.2763153430659511469284755548,4.706042812164201708038355470,2.873707716092050785565810482
Nc1ccc(nc1)c1cccs1,CC54814,176.242,-2.13,0.78,1.0,2.0,38.91,Null,-4.7,358.53,-0.39,19.5496788443,8.85498457693,1.722737249441119855668808850,0.2871228749068533092781348083,4.524655744929864555476567651,2.691583911440948405277753071
Cc1occc1CN,CC55413,111.143,-0.75,0.84,1.0,2.0,39.16,Null,-3.8,1637.93,-0.47,25.0641485525,7.11364827009,1.392852331282713944959791627,0.3482130828206784862399479068,3.688794649557371475560799938,1.831586777759629675321510756
OC(=O)c1ccc(cc1)CN1CCCC1,CC55601,205.256,-1.64,0.24,1.0,3.0,40.54,Null,-5.1,182.51,-0.34,18.2148796376,9.22228252319,1.246237778300513883657245589,0.2492475556601027767314491177,4.914804593957222872897322800,3.051009196083058704002853600
OCc1ccc(cc1)CN1CCCC1,CC55609,191.272,-1.22,1.44,1.0,2.0,23.47,Null,-5.2,154.16,-0.37,19.9298815214,16.2421316504,1.906014149176301725970666896,0.2722877355966145322815238422,4.958156334030841487412222390,3.093679697363123341579185432
NCc1cccc(c1)CN1CCCC1,CC55713,190.288,-1.56,1.78,1.0,2.0,29.26,Null,-5.1,182.51,-0.36,19.6476568932,12.7775575355,1.869356667450770825485868383,0.2670509524929672607836954833,4.884841370579779701084535488,3.018124736440768880011272512
Nc1cccc(c1)CN1CCCC1,CC55714,176.261,-1.18,1.22,1.0,2.0,29.26,Null,-5.0,216.07,-0.38,20.7953292451,12.5270182094,1.832702764033858965948591174,0.2819542713898244562997832576,4.779348880374554660243403157,2.911561757789197746263680692
NCc1ccc(cc1)CN1CCCN(CC1)C,CC55813,233.357,-1.69,1.75,1.0,3.0,32.5,Null,-5.5,92.91,-0.32,17.2779798331,12.4059616613,1.343979179974516947278957785,0.2371727964660912259904043151,5.262386461301824758499040829,3.399958372853217404813756582
OCc1ccc(cc1)Cn1cccn1,CC56009,188.229,-1.93,1.06,1.0,3.0,38.05,Null,-5.6,78.48,-0.4,21.8098221083,10.78906966,1.368413668542702645938039787,0.2932315004020077098438656686,5.251369041306345944990750611,3.379927540605210919300087692
Nc1ccc(cc1)Cn1cccn1,CC56014,173.218,Null,1.64,1.0,3.0,43.84,Null,-5.1,182.51,-0.39,21.5838615785,8.52808698655,1.246237778300513883657245589,0.2875933334539647423824412897,4.852656687208378408084820139,2.977306354768155943576800114
CNCc1ccc(cc1)Cn1cccn1,CC56046,201.272,-2.22,1.97,1.0,3.0,29.85,Null,-5.0,216.07,-0.33,18.2112043805,12.2794155044,1.221801842689239310632394116,0.2443603685378478621264788233,4.841496787123399156953352878,2.969188890182941119571167096
NCc1cccc(c1)Cn1cccn1,CC56113,187.245,-2.0,1.4,1.0,3.0,43.84,Null,-5.1,182.51,-0.36,19.9669595178,8.52808698655,1.246237778300513883657245589,0.2670509524929672607836954833,4.884841370579779701084535488,3.011123564469832620508116455
Nc1cccc(c1)Cn1cccn1,CC56114,173.218,-1.84,0.84,1.0,3.0,43.84,Null,-4.9,255.8,-0.38,20.7374491095,8.19365752705,1.197366486619121636690060738,0.2763153430659511469284755548,4.706042812164201708038355470,2.830692479723979208120440937
CNCc1cc(ccc1N1CCOCC1)C(F)(F)F,CC57846,274.284,-3.3,2.86,1.0,3.0,24.5,Null,-5.5,92.91,-0.29,14.6998641551,16.4568879181,1.343979179974516947278957785,0.212207238943344781149309124,5.310691140876379775657867849,3.470138014263849324577212463
Cc1nc(co1)C(=O)O,CC57901,127.099,Null,2.54,1.0,4.0,48.0,Null,-4.1,987.12,-0.46,23.6479441127,6.26172926829,0.7514075121948047235550351758,0.3339588943088020993577934114,3.959872558218543780735368241,2.109772182368707964745176495
OCc1ccccc1COc1ccccc1,CC58509,214.263,Null,2.11,1.0,2.0,29.46,Null,-6.3,24.08,-0.39,21.5545545307,15.6766582397,2.309171758707106560598204796,0.2886464698383883200747755996,5.822463500070137902051365172,3.949290698800516997784698636
CCOC(=O)C1CCN(CC1)c1cncc(n1)C,CC58923,249.312,Null,1.44,0.0,5.0,55.32,Null,-5.7,66.29,-0.32,16.7603323586,7.55342006685,0.8357103961964939448956251592,0.2321417767212483180265625442,5.433824486085775777634082136,3.575295163651340813071802420
OCc1ccc(cc1)N1CCCN(CC1)C,CC60309,220.314,-0.92,0.83,1.0,3.0,26.71,Null,-5.4,109.99,-0.34,17.9682035547,14.8208416247,1.319548932651008568201845873,0.2474154248720641065378461012,5.162766780608950485460493199,3.301688893513052699745361666
NCc1ccc(cc1)N1CCCN(CC1)C,CC60313,219.33,Null,1.52,1.0,3.0,32.5,Null,-5.3,130.22,-0.33,17.7145046687,11.9548378738,1.295107436329707397391030811,0.2428326443118201370108182771,5.089442291645046973028048013,3.226420347613171425895308145
NCc1cccc(c1)c1ccn(n1)C,CC60613,187.245,Null,2.12,1.0,3.0,43.84,Null,-5.5,92.91,-0.39,21.5329516939,9.19693781917,1.343979179974516947278957785,0.2879955385659679172740623826,5.178065575601788859844160228,3.304347769491841828044289079
C1COc2c(N1)nccc2,CC60830,136.153,-0.32,-0.16,1.0,3.0,34.15,Null,-4.2,833.8,-0.42,22.6138102665,9.01592418509,1.026312703069907160818915582,0.3078938109209721482456746746,4.078938109209721468338762194,2.212965324251049805114888788
NCC1OCCc2c1ccs2,CC61114,169.247,-2.23,0.89,1.0,2.0,35.25,Null,-4.4,594.9,-0.4,19.0582759581,9.15051356333,1.612778015537517449454374441,0.2932323664613668089917044438,4.266948716233259939658948854,2.454077010382037710074058542
NC1CCSCC1,CC61914,117.215,-1.13,0.99,1.0,1.0,26.02,Null,-3.3,3809.21,-0.47,20.6386988374,9.2973293014,2.419165084223486533193132113,0.3455950120319266475990188733,3.264263124237743376266520919,1.488148276113628984466301982
OC1CCSCC1,CC61915,118.199,-0.69,0.77,1.0,1.0,20.23,Null,-3.4,3217.56,-0.49,21.0870933406,12.3206789212,2.492473345767490159175488297,0.3560676208239271655964983281,3.337571385781746997204786767,1.565087148062988745545565812
N#CC1CCSCC1,CC61916,127.21,-1.6,1.49,0.0,1.0,23.79,Null,-3.5,2717.81,-0.44,20.1696478872,10.7851236138,2.565780907734432427048627257,0.3207226134668040533810784071,3.468870894726376012689843941,1.670302160352760922493394363
OC(=O)c1cccc(c1)COc1ccccc1,CC63601,228.246,-3.44,2.81,1.0,3.0,46.53,Null,-6.0,39.95,-0.35,19.2708008743,9.45300497819,1.466161072116663259966750368,0.2587343068441170458764853591,5.628932137728263740668608044,3.756886391633436938418021410
Nc1cccc(c1)COc1ccccc1,CC63614,199.252,-3.53,2.16,1.0,2.0,35.25,Null,-5.7,66.29,-0.38,20.9711921636,11.854048173,2.089275990491234862239062898,0.2785701320654979816318750531,5.354643240038150966559414804,3.477954670320906007796053983
OC(=O)c1cnc(s1)N1CCCC1,CC64201,198.245,Null,2.31,1.0,3.0,48.48,Null,-4.6,424.45,-0.35,17.0101312118,6.95580334588,0.8430433655205176286878178078,0.2593979586216977319039439408,4.486116814388907263157489807,2.669375704731015942961719220
