Smiles	CodeID	MolecularWeight	cLogS	cLogP	HBD	HBA	PSA	ROTATABLE_BONDS	DG	Ki	LIGAND_EFFICIENCY	BEI	SEI	NSEI	NBEI	nBEI	mBEI
OC(=O)CC12CC3CC(C2)CC(C1)C3	BTB13005	194.272	-3.28	2.7	1.0	2.0	37.3	Null	-5.1	182.51	-0.36	19.244735911	10.0233601472	1.869356667450770825485868383	0.2670509524929672607836954833	4.884841370579779701084535488	3.027123546094396537391135043
NC(=O)c1cccc2c1-c1ccccc1C2=O	BTB13068	223.23	-3.95	2.05	1.0	3.0	60.16	Null	-6.4	20.34	-0.38	21.0171081459	7.79861876897	1.563883017137758080658089731	0.2759793559654867201161334819	5.922097972791548165993031332	4.040401610670490217175543575
Nc1snc(n1)c1ccccc1	BTB13395	177.23	-1.92	1.45	1.0	3.0	51.8	Null	-5.1	182.51	-0.42	21.0952622857	7.21759331062	1.246237778300513883657245589	0.3115594445751284709143113972	4.817894580949166494818804838	2.987250572383099893851886468
OC(=O)CCc1c[nH]c2c1cccc2	BTB13431	189.213	-2.59	2.21	2.0	3.0	53.09	Null	-5.5	92.91	-0.39	21.3089879655	7.59453294391	1.343979179974516947278957785	0.2879955385659679172740623826	5.178065575601788859844160228	3.308888511494135463859523719
COc1ccccc1C1CCNCC1	BTB13447	191.272	-2.76	1.6	1.0	2.0	21.26	Null	-5.2	154.16	-0.37	19.9298815214	17.9305188069	1.906014149176301725970666896	0.2722877355966145322815238422	4.958156334030841487412222390	3.093679697363123341579185432
Oc1ccc(cc1)Oc1ccccc1	BTB14064	186.209	-3.52	2.56	1.0	2.0	29.46	Null	-5.4	109.99	-0.39	21.2591593207	13.4373618396	1.979323398976512852302768810	0.2827604855680732646146812586	5.104774833631263690397473137	3.228647465768476412143827991
OCCc1c[nH]c2c1cccc2	BTB14321	161.203	-2.1	1.54	2.0	2.0	36.02	Null	-5.6	78.48	-0.47	25.4662816798	11.397115507	2.052620502814053968907059680	0.3421034171356756614845099468	5.184422251675732784285948957	3.312614125425481651579367938
O=C1CC2(O)CCC1(C)CC2	BTB14472	154.208	-0.91	1.47	1.0	2.0	37.3	Null	-4.2	833.8	-0.38	19.9661373548	8.25452576196	1.539469054604860741228373373	0.2799034644736110438597042496	4.120330794367946544383923545	2.267045013830835922354067100
ON1C(NC(=S)C1(C)C)c1ccccc1	BTB15120	222.311	-2.59	2.69	2.0	3.0	35.5	Null	-5.6	78.48	-0.37	18.4662072755	11.5640591708	1.368413668542702645938039787	0.2736827337085405291876079574	5.281332264683789212706725201	3.452201957850758163729850238
OC1CCC(CC1)(C)C	BTBG00026	128.213	Null	0.99	1.0	1.0	20.23	Null	-4.3	704.29	-0.48	24.5860285461	15.5820488284	3.152248477979457762733315211	0.3502498308866064180814794679	4.106490987418782612252216693	2.260180540151563286420791074
NC(=S)c1ccc2c(c1)OCO2	CC00075	181.214	-1.84	1.39	1.0	3.0	44.48	Null	-4.7	358.53	-0.39	19.0132909095	7.7461207259	1.148491499627413237112539233	0.2871228749068533092781348083	4.524655744929864555476567651	2.703666245688130114223296012
O=C(OC(C)(C)C)Nc1cscc1	CC00092	199.273	-2.82	1.87	1.0	3.0	38.33	Null	-4.2	833.8	-0.32	15.4508544018	8.03271095541	1.026312703069907160818915582	0.2368413930161324217274420574	4.192881461516558244604259628	2.378386568244555219287544109
OCc1cccc2c1OCCCO2	CC00409	180.202	-1.3	0.84	1.0	3.0	38.69	Null	-5.7	66.29	-0.44	23.1881554088	10.8000826596	1.392850660327489908159375265	0.3214270754601899788060096766	5.292495333289306504783189861	3.434311587737299143660971491
OCc1c(C)onc1c1ccccc1	CC00509	189.213	-2.41	1.92	1.0	3.0	46.26	Null	-5.6	78.48	-0.4	21.6964003828	8.87427800611	1.368413668542702645938039787	0.2932315004020077098438656686	5.251369041306345944990750611	3.382191977198692593465466896
NCc1c(C)onc1c1ccccc1	CC00513	188.229	Null	2.26	1.0	3.0	52.05	Null	-5.3	130.22	-0.38	20.6414649655	7.46459617481	1.295107436329707397391030811	0.2775230220706515851552208881	5.031450344667360195499647496	3.160008843966225149532200763
CNCc1c(C)onc1c1ccccc1	CC00546	202.256	-3.16	2.83	1.0	3.0	38.06	Null	-5.4	109.99	-0.36	19.5724566784	10.4010688333	1.319548932651008568201845873	0.2639097865302017136403691747	5.134738057008706926619816811	3.264548211936917872197174540
N#Cc1c(C)noc1C	CC00616	122.126	-1.75	1.32	0.0	3.0	49.82	Null	-4.6	424.45	-0.51	27.6122485145	6.76871429563	1.124057820694023504917090410	0.3746859402313411683056968034	4.326415971521395417075042479	2.458981594941582473106828005
