Smiles,CodeID,MolecularWeight,cLogS,cLogP,HBD,HBA,PSA,ROTATABLE_BONDS,DG,Ki,LIGAND_EFFICIENCY,BEI,SEI,NSEI,NBEI,nBEI,mBEI
OCc1ccc(cc1)c1ccncc1,CC35409,185.225,-1.5,1.08,1.0,2.0,33.12,Null,-4.87,269.09,-0.3479,19.2744091851,10.7792948107,1.785051220656426196677132510,0.2550073172366323138110189299,4.716230476991090419280220172,2.837802044767300372424696276
OCc1cccc(c1)c1ccncc1,CC35609,185.225,-1.47,1.08,1.0,2.0,33.12,Null,-5.24,144.1,-0.3743,20.7387556711,11.5982367729,1.920668009593005380904738956,0.2743811442275721972721055652,4.987464054864248787735433067,3.109035622640458726794851808
CNCc1cccc(c1)c1ccncc1,CC35646,198.268,-2.18,2.0,1.0,2.0,24.92,Null,-4.73,340.82,-0.3153,17.488827889,13.9144258743,1.733737463943894726078227088,0.2311649951925192968104302784,4.643566186943470689920370554,2.764727553616709403807899888
OCc1ccccc1N1CCN(CC1)C,CC36009,206.287,-0.58,1.01,1.0,3.0,26.71,Null,-5.12,176.45,-0.3413,18.1949339382,14.0523337226,1.251126112434670682348082515,0.250225222486934136469616503,4.929469596359693309973467128,3.067850197336503268961675915
N#Cc1ncccc1N1CCCCC1,CC37616,187.245,-1.81,1.4,0.0,3.0,39.92,Null,-5.07,191.99,-0.3621,19.8495094202,9.31042432713,1.238907130463262069079150121,0.2654800993849847290883893116,4.862849427068024210170849551,2.989131620958077168684649743
NCc1cccc(n1)N1CCCCC1,CC38113,191.276,-0.93,1.16,1.0,3.0,42.15,Null,-4.79,308.0,-0.3421,18.3580233981,8.33084053025,1.170483094499851910097518938,0.2508178059642539807351826296,4.657577319177793775328212487,2.793109764653637663828739467
OCc1cccc(c1)N1CCCC1,CC38509,177.245,-0.97,0.85,1.0,2.0,23.47,Null,-5.13,173.5,-0.3946,21.2175267053,16.0234363906,1.880350260436553752273479522,0.2892846554517775003497660802,4.874643873179944290715388580,3.009274513653247789093131577
OC(=O)c1cc2c([nH]1)ccs2,CC39001,167.188,-2.2,0.67,2.0,3.0,53.09,Null,-4.46,537.6,-0.4055,19.5560730432,6.15848698428,1.089846913318077070610673951,0.2972309763594755647120019867,4.310933425112456269004620709,2.492745842478230277436167642
Nc1cccc(c1)c1cccnc1,CC39814,170.214,-1.28,1.11,1.0,2.0,38.91,Null,-4.79,308.0,-0.3685,20.6296149759,9.02454197764,1.755724641749777865146278408,0.2701114833461196715609659088,4.625392635806392528163612751,2.742444561179361921410837364
OC(=O)c1ccc(cc1)c1cccnc1,CC40001,199.208,-1.99,1.76,1.0,3.0,50.19,Null,-5.18,159.46,-0.3453,19.0622276226,7.56594588612,1.265782746747553875416842039,0.2531565493495107750833684077,4.973439499298342868331815125,3.096655015525577053192042712
OCc1ccc(cc1)c1cccnc1,CC40009,185.225,-1.48,1.33,1.0,2.0,33.12,Null,-5.08,188.78,-0.3629,20.1055150128,11.244094258,1.862022009123128187698198792,0.2660031441604468839568855417,4.870172053924494424705872282,2.991743621700704355573581216
OCc1cccc(c1)CN1CCOCC1,CC40109,207.271,-0.9,1.27,1.0,3.0,32.7,Null,-5.27,136.98,-0.3513,18.6390900711,11.8145040921,1.287780946042040389733668510,0.2575561892084080779467337021,5.039434097181802427395379734,3.179881380832587613610093353
CNCc1cccc(c1)CN1CCOCC1,CC40146,220.314,-1.92,2.18,1.0,3.0,24.5,Null,-4.81,297.77,-0.3006,16.004970447,14.3923226901,1.175373019690422852589066557,0.2203824411919542848604499794,4.730239041727193338622155250,2.869161154631295532434587237
CNCc1ccc(cc1)c1nccs1,CC40246,204.296,-3.25,2.11,1.0,2.0,24.92,Null,-4.24,779.36,-0.3029,15.2145019372,12.4729610264,1.554130943886152649084152975,0.2220187062694503784405932821,4.254389923450543316542182783,2.418521751247954154529005160
OCCc1coc2c1cccc2,CC40809,162.187,-2.77,1.97,1.0,2.0,33.37,Null,-5.79,56.95,-0.4825,26.1704469013,12.7195273347,2.122253135792440408930811174,0.3537088559654067348218018623,5.323687517632505619746604952,3.454522312245914191076887671
OCc1cc2c(n1C)ccs2,CC40909,167.231,-2.39,0.7,1.0,2.0,25.16,Null,-5.01,212.46,-0.4555,21.9619736942,14.5974674994,1.836361411429122643195455350,0.3338838929871132078537191545,4.714115508016470340992630392,2.896039609603683637429738242
CNCc1cc2c(n1C)ccs2.Cl,CC40996,216.735,3.93,1.62,2.0,2.0,16.96,Null,-4.65,390.1,-0.3875,15.728073683,20.0991984062,1.704412024844104318453570836,0.2840686708073507197422618061,4.488005295735833434453857775,2.744753099814997247797027708
OC(=O)c1ccc2c(c1)ccn2C,CC41401,175.186,-2.19,1.51,1.0,3.0,42.23,Null,-5.01,212.46,-0.3854,20.9647050727,8.69695198404,1.224240940952748428796970233,0.2825171402198650220300700538,4.786666175165082076374695439,2.916222219406706369788613526
